StartNode,EndNode
1001,529
529,1001
1001,415
415,382
382,963
963,52
52,335
335,1001
1001,859
859,766
766,870
870,518
518,688
688,1001
1001,14
14,323
323,368
368,953
953,195
195,1001
1001,621
621,190
190,453
453,851
851,926
926,1001
1001,732
732,899
899,682
682,985
985,43
43,1001
1001,174
174,126
126,371
371,552
552,969
969,1001
1001,44
44,271
271,765
765,541
541,169
169,1001
1001,157
157,932
932,495
495,698
698,602
602,1001
1001,304
304,227
227,744
744,264
264,989
989,1001
1001,834
834,432
432,636
636,54
54,690
690,1001
1001,139
139,90
90,901
901,396
396,12
12,1001
1001,737
737,408
408,943
943,458
458,680
680,1001
1002,311
311,350
350,668
668,663
663,1002
1002,173
173,70
70,788
788,908
908,62
62,1002
1002,320
320,405
405,659
659,258
258,429
429,1002
1002,612
612,310
310,617
617,192
192,973
973,1002
1002,256
256,127
127,514
514,630
630,129
129,1002
1002,468
468,593
593,550
550,451
451,890
890,1002
1002,344
344,818
818,941
941,100
100,352
352,1002
1002,966
966,189
189,143
143,2
2,485
485,1002
1002,515
515,561
561,554
554,662
662,610
610,1002
1002,855
855,849
849,944
944,372
372,25
25,1002
1002,991
991,927
927,163
163,780
780,577
577,1002
1003,873
873,296
296,1003
1003,808
808,41
41,348
348,246
246,895
895,1003
1003,672
672,224
224,160
160,633
633,206
206,1003
1003,762
762,214
214,619
619,473
473,858
858,1003
1003,594
594,701
701,505
505,85
85,881
881,1003
1003,478
478,57
57,770
770,785
785,684
684,1003
1003,18
18,761
761,615
615,282
282,105
105,1003
1003,576
576,431
431,704
704,557
557,696
696,1003
1003,586
586,334
334,402
402,177
177,928
928,1003
1003,796
796,212
212,437
437,798
798,644
644,1003
1003,445
445,546
546,240
240,191
191,917
917,1003
1004,625
625,1004
1004,364
364,534
534,456
456,257
257,412
412,1004
1004,666
666,392
392,544
544,578
578,706
706,1004
1004,867
867,370
370,722
722,803
803,959
959,1004
1004,911
911,329
329,664
664,249
249,791
791,1004
1004,247
247,316
316,84
84,442
442,837
837,1004
1004,94
94,656
656,734
734,510
510,839
839,1004
1004,362
362,130
130,135
135,940
940,599
599,1004
1004,537
537,767
767,172
172,838
838,671
671,1004
1004,591
591,365
365,878
878,113
113,273
273,1004
1004,277
277,31
31,363
363,481
481,815
815,1004
1004,902
902,678
678,721
721,494
494,149
149,1004
