StartNode,EndNode
501,311
311,77
77,175
175,299
299,220
220,501
501,132
132,459
459,385
385,247
247,432
432,501
501,144
144,353
353,355
355,434
434,187
187,501
501,287
287,73
73,22
22,272
272,24
24,501
501,419
419,241
241,71
71,104
104,449
449,501
501,380
380,44
44,454
454,297
297,229
229,501
502,375
375,103
103,502
502,65
65,468
468,402
402,72
72,339
339,502
502,29
29,492
492,155
155,404
404,443
443,502
502,361
361,397
397,125
125,436
436,137
137,502
502,457
457,191
191,271
271,283
283,399
399,502
503,359
359,405
405,369
369,500
500,503
503,163
163,39
39,6
6,352
352,266
266,503
503,364
364,150
150,38
38,263
263,153
153,503
503,256
256,25
25,321
321,503
503,126
126,234
234,192
192,298
298,394
394,503
504,113
113,504
504,246
246,274
274,430
430,4
4,345
345,504
504,440
440,403
403,81
81,343
343,160
160,504
504,80
80,62
62,118
118,110
110,230
230,504
504,204
204,147
147,86
86,96
96,417
417,504
505,186
186,45
45,94
94,168
168,290
290,505
505,315
315,14
14,134
134,99
99,52
52,505
505,483
483,376
376,203
203,111
111,322
322,505
505,108
108,390
390,172
172,301
301,262
262,505
505,291
291,2
2,481
481,358
358,15
15,505
505,1
1,70
70,289
289,253
253,294
294,505
