StartNode,EndNode
501,181
181,51
51,196
196,178
178,501
501,218
218,368
368,148
148,210
210,428
428,501
501,176
176,431
431,334
334,172
172,64
64,501
501,257
257,469
469,274
274,68
68,497
497,501
501,255
255,11
11,71
71,153
153,289
289,501
501,194
194,59
59,496
496,322
322,107
107,501
501,240
240,442
442,213
213,396
396,87
87,501
501,205
205,273
273,350
350,379
379,245
245,501
502,450
450,307
307,184
184,128
128,157
157,502
502,241
241,313
313,70
70,436
436,453
453,502
502,115
115,374
374,288
288,165
165,82
82,502
502,369
369,141
141,46
46,247
247,465
465,502
502,480
480,192
192,269
269,48
48,95
95,502
502,189
189,44
44,188
188,268
268,100
100,502
502,282
282,264
264,483
483,467
467,372
372,502
503,271
271,233
233,376
376,234
234,154
154,503
503,22
22,99
99,86
86,486
486,336
336,503
503,132
132,24
24,246
246,430
430,304
304,503
503,211
211,208
208,445
445,339
339,464
464,503
503,472
472,434
434,174
174,30
30,342
342,503
503,105
105,16
16,314
314,312
312,405
405,503
503,110
110,170
170,238
238,41
41,348
348,503
504,327
327,228
228,432
432,90
90,150
150,504
504,298
298,311
311,262
262,136
136,290
290,504
504,118
118,29
29,101
101,266
266,278
278,504
504,494
494,97
97,259
259,102
102,411
411,504
504,400
400,325
325,335
335,365
365,256
256,504
504,468
468,425
425,146
146,182
182,346
346,504
504,159
159,198
198,340
340,385
385,74
74,504
