StartNode,EndNode
501,15
501,121
501,308
501,442
501,181
501,249
501,479
501,441
501,437
501,226
501,301
501,203
501,378
501,18
501,489
501,410
502,358
502,417
502,179
502,267
502,495
502,9
502,161
502,193
502,481
502,367
502,98
502,408
502,478
502,253
502,6
502,160
502,293
503,439
503,471
503,416
503,78
503,302
503,92
503,316
503,343
503,72
503,43
503,91
503,171
503,20
503,415
503,492
503,341
504,33
504,4
504,112
504,156
504,166
504,159
504,280
504,419
504,73
504,131
504,175
504,297
504,108
504,21
