StartNode,EndNode
1001,248
248,880
880,636
636,387
387,671
671,485
485,907
907,122
122,220
220,745
745,478
478,954
954,455
455,547
547,312
312,528
528,589
589,294
294,795
795,832
832,646
646,673
673,674
674,291
291,259
259,343
343,306
306,115
115,917
917,144
144,654
654,728
728,15
15,7
7,933
933,189
189,119
119,102
102,559
559,846
846,881
881,648
648,467
467,516
516,502
502,399
399,155
155,668
668,620
620,721
721,256
256,977
977,500
500,637
637,20
20,705
705,860
860,679
679,290
290,711
711,227
227,372
372,497
497,591
591,469
469,207
207,576
576,432
432,553
553,730
730,670
670,838
838,132
132,201
201,783
783,540
540,998
998,808
808,1001
1001,466
466,243
243,683
683,503
503,209
209,181
181,499
499,985
985,359
359,26
26,894
894,398
398,32
32,416
416,71
71,54
54,868
868,669
669,476
476,650
650,307
307,369
369,366
366,534
534,904
904,463
463,239
239,581
581,19
19,816
816,1
1,762
762,645
645,574
574,951
951,819
819,1001
1002,564
564,710
710,434
434,277
277,910
910,112
112,437
437,176
176,85
85,796
796,253
253,725
725,963
963,257
257,380
380,937
937,895
895,302
302,105
105,805
805,606
606,473
473,649
649,237
237,402
402,696
696,509
509,82
82,532
532,408
408,401
401,700
700,149
149,475
475,970
970,658
658,162
162,493
493,142
142,384
384,501
501,420
420,709
709,457
457,57
57,139
139,451
451,644
644,13
13,662
662,125
125,391
391,208
208,5
5,794
794,226
226,847
847,733
733,443
443,898
898,760
760,64
64,685
685,975
975,191
191,902
902,835
835,918
918,833
833,692
692,68
68,593
593,23
23,957
957,903
903,337
337,557
557,643
643,1002
1002,888
888,911
911,247
247,55
55,327
327,971
971,368
368,912
912,639
639,743
743,974
974,177
177,35
35,873
873,388
388,225
225,660
660,192
192,22
22,929
929,965
965,803
803,454
454,163
163,802
802,505
505,393
393,77
77,300
300,249
249,688
688,647
647,212
212,1002
1003,146
146,719
719,117
117,405
405,143
143,53
53,750
750,716
716,496
496,720
720,134
134,862
862,626
626,382
382,865
865,962
962,461
461,993
993,339
339,610
610,267
267,69
69,527
527,111
111,582
582,539
539,921
921,81
81,887
887,304
304,44
44,618
618,324
324,483
483,52
52,927
927,908
908,627
627,412
412,14
14,831
831,269
269,309
309,283
283,284
284,173
173,389
389,178
178,590
590,439
439,562
562,62
62,561
561,748
748,187
187,161
161,798
798,953
953,263
263,395
395,390
390,1000
1000,595
595,693
693,991
991,93
93,25
25,342
342,479
479,394
394,6
6,261
261,186
186,555
555,542
542,958
958,383
383,634
634,1003
1003,184
184,791
791,133
133,1003
1004,174
174,727
727,677
677,445
445,956
956,286
286,801
801,596
596,279
279,686
686,131
131,278
278,806
806,328
328,204
204,529
529,231
231,815
815,638
638,273
273,397
397,486
486,358
358,413
413,814
814,717
717,715
715,678
678,932
932,767
767,922
922,495
495,652
652,667
667,11
11,271
271,851
851,447
447,919
919,49
49,687
687,506
506,348
348,274
274,448
448,354
354,179
179,335
335,741
741,70
70,120
120,982
982,697
697,631
631,859
859,837
837,566
566,154
154,152
152,450
450,653
653,314
314,689
689,353
353,235
235,377
377,1004
1005,551
551,515
515,462
462,171
171,522
522,104
104,285
285,166
166,510
510,482
482,738
738,856
856,236
236,968
968,661
661,872
872,978
978,926
926,804
804,726
726,230
230,215
215,232
232,950
950,218
218,949
949,905
905,213
213,568
568,599
599,150
150,287
287,722
722,336
336,990
990,751
751,45
45,244
244,214
214,417
417,318
318,370
370,456
456,682
682,289
289,746
746,441
441,723
723,48
48,185
185,812
812,24
24,870
870,400
400,240
240,828
828,16
16,943
943,376
376,8
8,938
938,641
641,997
997,440
440,137
137,731
731,616
616,611
611,822
822,488
488,753
753,1005
1005,944
944,676
676,592
592,656
656,95
95,418
418,830
830,217
217,46
46,194
194,313
313,549
549,490
490,556
556,665
665,21
21,422
422,233
233,615
615,703
703,690
690,238
238,875
875,793
793,254
254,83
83,159
159,622
622,560
560,617
617,883
883,2
2,684
684,425
425,775
775,890
890,538
538,272
272,533
533,763
763,827
827,952
952,989
989,844
844,415
415,945
945,205
205,56
56,585
585,219
219,234
234,924
924,27
27,1005
1006,121
121,587
587,106
106,97
97,180
180,874
874,839
839,609
609,923
923,183
183,877
877,258
258,165
165,329
329,151
151,211
211,598
598,311
311,732
732,934
934,747
747,282
282,901
901,807
807,514
514,72
72,409
409,983
983,583
583,535
535,570
570,842
842,893
893,909
909,507
507,386
386,459
459,74
74,834
834,852
852,426
426,419
419,268
268,255
255,702
702,994
994,472
472,675
675,605
605,153
153,446
446,385
385,845
845,966
966,334
334,531
531,157
157,136
136,292
292,811
811,521
521,632
632,410
410,571
571,396
396,110
110,541
541,987
987,694
694,160
160,765
765,36
36,373
373,655
655,635
635,363
363,853
853,320
320,889
889,530
530,1006
1006,698
698,633
633,755
755,772
772,88
88,188
188,940
940,164
164,423
423,739
739,198
198,969
969,955
955,145
145,435
435,866
866,708
708,981
981,980
980,701
701,362
362,771
771,364
364,433
433,10
10,892
892,480
480,558
558,357
357,392
392,759
759,840
840,452
452,79
79,262
262,513
513,229
229,946
946,196
196,976
976,691
691,517
517,203
203,871
871,414
414,800
800,1006
