StartNode,EndNode
1001,502
502,215
215,840
840,482
482,184
184,832
832,464
464,142
142,886
886,822
822,805
805,30
30,875
875,465
465,237
237,324
324,120
120,369
369,566
566,860
860,934
934,185
185,729
729,665
665,359
359,523
523,771
771,384
384,16
16,467
467,269
269,823
823,553
553,793
793,898
898,538
538,190
190,621
621,453
453,851
851,926
926,390
390,889
889,732
732,111
111,743
743,98
98,749
749,899
899,682
682,985
985,43
43,500
500,632
632,64
64,707
707,756
756,674
674,380
380,376
376,555
555,155
155,187
187,15
15,768
768,394
394,197
197,999
999,548
548,643
643,422
422,950
950,1001
1001,923
923,434
434,620
620,233
233,179
179,573
573,783
783,826
826,253
253,539
539,614
614,102
102,59
59,340
340,728
728,371
371,126
126,174
174,541
541,169
169,797
797,929
929,955
955,963
963,79
79,631
631,708
708,650
650,655
655,651
651,921
921,814
814,812
812,759
759,93
93,967
967,339
339,600
600,725
725,913
913,210
210,293
293,181
181,852
852,862
862,403
403,353
353,161
161,607
607,845
845,972
972,115
115,996
996,590
590,223
223,764
764,152
152,228
228,101
101,20
20,833
833,971
971,742
742,718
718,399
399,1001
1001,423
423,854
854,565
565,150
150,763
763,89
89,483
483,859
859,766
766,870
870,518
518,688
688,331
331,542
542,123
123,354
354,116
116,758
758,158
158,835
835,76
76,42
42,648
648,381
381,786
786,984
984,425
425,731
731,925
925,241
241,1001
1002,991
991,775
775,794
794,645
645,622
622,307
307,570
570,988
988,781
781,53
53,178
178,309
309,259
259,86
86,710
710,692
692,779
779,866
866,147
147,104
104,27
27,961
961,136
136,71
71,80
80,903
903,209
209,472
472,34
34,3
3,189
189,780
780,490
490,982
982,700
700,252
252,234
234,695
695,1002
1002,784
784,733
733,134
134,673
673,484
484,131
131,313
313,441
441,533
533,114
114,654
654,194
194,128
128,686
686,589
589,649
649,205
205,298
298,132
132,125
125,204
204,563
563,520
520,519
519,21
21,517
517,624
624,778
778,393
393,970
970,175
175,501
501,387
387,893
893,906
906,675
675,154
154,714
714,853
853,638
638,140
140,894
894,946
946,138
138,958
958,587
587,226
226,144
144,506
506,952
952,492
492,712
712,960
960,341
341,681
681,397
397,26
26,208
208,156
156,66
66,782
782,418
418,413
413,303
303,750
750,414
414,107
107,580
580,880
880,560
560,629
629,279
279,567
567,166
166,398
398,148
148,377
377,407
407,332
332,777
777,499
499,514
514,630
630,868
868,1002
1002,36
36,536
536,968
968,825
825,604
604,891
891,634
634,800
800,661
661,248
248,568
568,841
841,628
628,162
162,360
360,278
278,549
549,486
486,653
653,67
67,945
945,745
745,72
72,927
927,299
299,137
137,508
508,69
69,410
410,78
78,29
29,238
238,255
255,275
275,979
979,103
103,355
355,344
344,818
818,941
941,617
617,709
709,405
405,659
659,258
258,429
429,320
320,809
809,383
383,373
373,416
416,801
801,176
176,96
96,1002
1003,41
41,348
348,171
171,7
7,435
435,691
691,246
246,895
895,445
445,896
896,388
388,326
326,401
401,338
338,50
50,705
705,32
32,56
56,874
874,936
936,532
532,511
511,463
463,487
487,605
605,904
904,572
572,836
836,183
183,337
337,703
703,919
919,525
525,521
521,848
848,881
881,701
701,697
697,8
8,677
677,356
356,358
358,88
88,772
772,219
219,295
295,428
428,297
297,91
91,146
146,222
222,735
735,232
232,683
683,755
755,603
603,618
618,611
611,641
641,522
522,452
452,528
528,530
530,876
876,606
606,117
117,918
918,218
218,300
300,424
424,379
379,1003
1003,613
613,263
263,244
244,843
843,761
761,846
846,450
450,366
366,203
203,986
986,802
802,623
623,479
479,312
312,235
235,167
167,488
488,724
724,216
216,5
5,884
884,449
449,420
420,9
9,254
254,753
753,844
844,386
386,342
342,693
693,639
639,795
795,957
957,51
51,133
133,289
289,110
110,676
676,773
773,888
888,974
974,637
637,75
75,699
699,837
837,516
516,858
858,22
22,473
473,633
633,752
752,327
327,108
108,679
679,46
46,905
905,49
49,931
931,920
920,17
17,1003
1003,687
687,272
272,211
211,916
916,285
285,672
672,224
224,160
160,214
214,762
762,990
990,877
877,206
206,642
642,850
850,77
77,199
199,739
739,1003
1004,685
685,4
4,375
375,857
857,596
596,274
274,747
747,180
180,856
856,526
526,719
719,99
99,564
564,964
964,601
601,378
378,627
627,865
865,230
230,609
609,897
897,597
597,97
97,65
65,1
1,321
321,48
48,349
349,658
658,207
207,992
992,787
787,288
288,689
689,534
534,938
938,810
810,250
250,319
319,276
276,715
715,828
828,640
640,318
318,571
571,489
489,400
400,863
863,118
118,217
217,660
660,112
112,776
776,821
821,937
937,426
426,122
122,480
480,336
336,367
367,260
260,302
302,239
239,314
314,182
182,283
283,145
145,290
290,746
746,24
24,1004
1004,562
562,411
411,10
10,268
268,792
792,933
933,811
811,504
504,819
819,389
389,949
949,694
694,333
333,727
727,193
193,347
347,33
33,976
976,442
442,757
757,446
446,94
94,839
839,544
544,392
392,738
738,885
885,496
496,647
647,151
151,509
509,924
924,997
997,871
871,385
385,270
270,498
498,922
922,68
68,440
440,769
769,475
475,404
404,229
229,956
956,608
608,81
81,507
507,864
864,977
977,188
188,286
286,907
907,225
225,722
722,803
803,616
616,1004
1004,243
243,569
569,130
130,135
135,939
939,806
806,251
251,350
350,265
265,47
47,830
830,820
820,973
973,493
493,95
95,940
940,599
599,83
83,1004
