StartNode,EndNode
241,9
9,25
25,17
17,241
241,40
40,31
31,22
22,241
241,11
11,27
27,35
35,241
241,23
23,39
39,32
32,241
241,7
7,241
242,58
58,59
59,51
51,242
242,66
66,74
74,75
75,242
242,70
70,78
78,76
76,242
242,43
43,53
53,72
72,242
242,42
42,44
44,242
243,103
103,95
95,87
87,243
243,110
110,118
118,119
119,243
243,91
91,99
99,107
107,243
243,104
104,112
112,120
120,243
243,89
89,97
97,159
159,243
244,146
146,154
154,137
137,244
244,151
151,144
144,128
128,244
244,147
147,155
155,160
160,244
244,148
148,136
136,125
125,244
245,186
186,178
178,170
170,245
245,175
175,191
191,199
199,245
245,174
174,182
182,190
190,245
245,179
179,195
195,187
187,245
245,176
176,200
200,192
192,245
246,205
205,246
246,225
225,234
234,226
226,246
246,231
231,230
230,222
222,246
246,219
219,227
227,235
235,246
246,239
239,216
216,213
213,246
246,207
207,206
206,204
204,246
