StartNode,EndNode
241,1
1,34
34,26
26,18
18,10
10,2
2,241
241,7
7,6
6,12
12,4
4,241
241,3
3,11
11,5
5,241
241,16
16,24
24,32
32,39
39,31
31,15
15,241
242,48
48,53
53,61
61,69
69,77
77,51
51,242
242,55
55,63
63,71
71,79
79,62
62,54
54,242
242,42
42,58
58,66
66,57
57,41
41,242
243,84
84,92
92,100
100,108
108,94
94,243
243,90
90,98
98,106
106,114
114,99
99,91
91,243
243,87
87,95
95,103
103,111
111,96
96,85
85,243
243,83
83,101
101,88
88,243
244,128
128,125
125,133
133,141
141,149
149,123
123,244
244,127
127,135
135,143
143,151
151,134
134,126
126,244
244,122
122,130
130,244
244,121
121,129
129,137
137,148
148,140
140,132
132,244
245,164
164,172
172,180
180,174
174,175
175,167
167,245
245,162
162,170
170,178
178,186
186,194
194,169
169,245
245,173
173,181
181,189
189,197
197,184
184,176
176,245
245,168
168,245
246,204
204,202
202,210
210,203
203,246
246,212
212,220
220,225
225,217
217,209
209,201
201,246
246,216
216,239
239,231
231,223
223,215
215,207
207,246
246,208
208,213
213,205
205,246
