StartNode,EndNode
250,111
111,236
236,23
23,48
48,174
174,143
143,14
14,107
107,240
240,117
117,178
178,210
210,41
41,110
110,109
109,20
20,227
227,29
29,97
97,132
132,105
105,222
222,165
165,6
6,243
243,52
52,219
219,15
15,102
102,233
233,136
136,226
226,32
32,78
78,75
75,162
162,181
181,171
171,250
250,120
120,22
22,179
179,161
161,93
93,91
91,50
50,88
88,151
151,94
94,245
245,218
218,192
192,144
144,156
156,152
152,180
180,63
63,216
216,46
46,200
200,208
208,246
246,25
25,141
141,37
37,250
251,114
114,148
148,89
89,167
167,58
58,150
150,36
36,220
220,206
206,83
83,217
217,27
27,204
204,198
198,73
73,96
96,112
112,8
8,190
190,123
123,3
3,135
135,146
146,84
84,39
39,122
122,223
223,43
43,225
225,241
241,235
235,251
251,203
203,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,66
66,56
56,242
242,157
157,249
249,62
62,237
237,177
177,69
69,163
163,224
224,251
252,234
234,138
138,21
21,186
186,81
81,4
4,115
115,145
145,209
209,99
99,108
108,244
244,76
76,154
154,87
87,188
188,160
160,7
7,164
164,140
140,172
172,74
74,104
104,215
215,213
213,166
166,207
207,191
191,5
5,12
12,49
49,61
61,90
90,211
211,79
79,19
19,185
185,72
72,252
