StartNode,EndNode
241,4
4,34
34,26
26,18
18,10
10,2
2,241
241,8
8,37
37,29
29,21
21,13
13,5
5,241
241,3
3,11
11,19
19,27
27,35
35,241
242,47
47,46
46,60
60,52
52,242
242,50
50,58
58,66
66,74
74,59
59,51
51,242
242,71
71,56
56,77
77,69
69,61
61,45
45,242
243,84
84,243
243,85
85,83
83,114
114,106
106,98
98,90
90,243
243,92
92,100
100,108
108,116
116,89
89,82
82,243
243,93
93,101
101,109
109,117
117,91
91,81
81,243
244,124
124,132
132,244
244,125
125,133
133,141
141,149
149,157
157,131
131,244
244,127
127,135
135,143
143,151
151,159
159,244
244,121
121,154
154,146
146,130
130,123
123,122
122,244
245,164
164,174
174,166
166,167
167,245
245,165
165,163
163,170
170,162
162,245
245,172
172,180
180,188
188,196
196,169
169,161
161,245
245,176
176,173
173,181
181,189
189,197
197,171
171,245
246,210
210,218
218,202
202,246
246,212
212,220
220,228
228,236
236,231
231,223
223,246
246,201
201,209
209,225
225,234
234,226
226,203
203,246
