StartNode,EndNode
361,17
17,25
25,33
33,361
361,2
2,361
361,12
12,22
22,14
14,361
361,15
15,23
23,31
31,361
361,39
39,38
38,30
30,361
361,26
26,34
34,3
3,361
362,62
62,70
70,78
78,362
362,73
73,65
65,57
57,362
362,61
61,69
69,77
77,362
362,58
58,66
66,74
74,362
362,44
44,362
362,46
46,55
55,47
47,362
363,83
83,99
99,117
117,363
363,91
91,107
107,115
115,363
363,100
100,108
108,116
116,363
363,98
98,106
106,114
114,363
363,92
92,86
86,111
111,363
363,84
84,363
364,158
158,150
150,142
142,364
364,123
123,131
131,139
139,364
364,138
138,146
146,154
154,364
364,133
133,149
149,160
160,364
364,129
129,148
148,124
124,364
365,169
169,177
177,185
185,365
365,164
164,161
161,162
162,365
365,173
173,181
181,189
189,365
365,172
172,180
180,188
188,365
365,194
194,186
186,178
178,365
365,184
184,192
192,147
147,365
366,240
240,232
232,224
224,366
366,225
225,233
233,217
217,366
366,205
205,221
221,229
229,366
366,234
234,226
226,218
218,366
366,212
212,220
220,366
366,207
207,204
204,366
367,278
278,270
270,262
262,367
367,247
247,255
255,263
263,367
367,253
253,261
261,269
269,367
367,250
250,258
258,266
266,367
367,244
244,252
252,257
257,367
367,265
265,260
260,246
246,367
368,297
297,305
305,313
313,368
368,291
291,315
315,307
307,368
368,303
303,311
311,319
319,368
368,290
290,298
298,306
306,368
368,284
284,292
292,300
300,368
368,288
288,296
296,368
369,337
337,345
345,353
353,369
369,342
342,350
350,358
358,369
369,325
325,333
333,323
323,369
369,327
327,335
335,369
369,351
351,359
359,329
329,369
369,324
324,332
332,369
