StartNode,EndNode
250,96
96,65
65,206
206,250
250,166
166,1
1,191
191,250
250,38
38,39
39,123
123,250
250,9
9,153
153,230
230,250
250,183
183,150
150,58
58,250
250,57
57,214
214,11
11,250
250,114
114,148
148,26
26,250
250,177
177,146
146,135
135,250
250,241
241,225
225,43
43,250
250,157
157,249
249,62
62,250
250,47
47,113
113,235
235,250
250,176
176,226
226,219
219,250
250,2
2,170
170,238
238,250
251,186
186,239
239,93
93,251
251,200
200,44
44,251
251,95
95,34
34,28
28,251
251,48
48,143
143,45
45,251
251,215
215,126
126,116
116,251
251,236
236,196
196,128
128,251
251,86
86,161
161,179
179,251
251,22
22,120
120,169
169,251
251,63
63,216
216,180
180,251
251,105
105,132
132,165
165,251
251,41
41,67
67,85
85,251
251,50
50,91
91,187
187,251
251,115
115,209
209,7
7,251
