StartNode,EndNode
361,40
40,32
32,24
24,361
361,21
21,29
29,361
361,18
18,26
26,34
34,361
361,1
1,9
9,361
361,15
15,23
23,31
31,361
361,33
33,28
28,20
20,361
362,70
70,62
62,46
46,362
362,48
48,64
64,72
72,362
362,55
55,63
63,71
71,362
362,61
61,69
69,59
59,362
362,49
49,65
65,50
50,362
362,57
57,66
66,51
51,362
363,101
101,117
117,109
109,363
363,118
118,110
110,102
102,363
363,91
91,83
83,363
363,103
103,111
111,119
119,363
363,82
82,98
98,106
106,363
363,108
108,77
77,86
86,363
364,122
122,146
146,154
154,364
364,139
139,147
147,155
155,364
364,135
135,143
143,151
151,364
364,136
136,128
128,364
364,133
133,141
141,149
149,364
364,134
134,142
142,150
150,364
364,132
132,148
148,127
127,364
365,195
195,187
187,179
179,365
365,181
181,189
189,197
197,365
365,167
167,183
183,175
175,365
365,172
172,180
180,188
188,365
365,186
186,178
178,170
170,365
365,161
161,169
169,177
177,365
365,171
171,173
173,176
176,365
366,235
235,227
227,211
211,366
366,223
223,231
231,239
239,366
366,213
213,221
221,229
229,366
366,220
220,236
236,222
222,366
366,203
203,219
219,237
237,366
367,280
280,272
272,264
264,367
367,261
261,269
269,277
277,367
367,250
250,258
258,266
266,367
367,241
241,249
249,247
247,367
367,252
252,260
260,268
268,367
367,271
271,244
244,242
242,367
368,315
315,307
307,283
283,368
368,297
297,305
305,313
313,368
368,293
293,301
301,296
296,368
368,292
292,289
289,282
282,368
368,306
306,298
298,290
290,368
368,281
281,284
284,368
369,344
344,352
352,360
360,369
369,353
353,345
345,337
337,369
369,328
328,336
336,369
369,338
338,346
346,354
354,369
369,324
324,326
326,351
351,369
369,332
332,340
340,321
321,369
369,325
325,369
