StartNode,EndNode
361,22
22,361
361,21
21,361
361,23
23,361
361,14
14,361
361,9
9,361
361,15
15,361
361,12
12,361
361,10
10,361
361,13
13,361
361,8
8,361
361,6
6,361
361,1
1,361
361,5
5,361
361,7
7,361
361,4
4,361
362,52
52,362
362,79
79,362
362,64
64,362
362,62
62,362
362,69
69,362
362,51
51,362
362,56
56,362
362,54
54,362
362,49
49,362
362,41
41,362
362,43
43,362
362,46
46,362
362,48
48,362
362,42
42,362
363,105
105,363
363,109
109,363
363,96
96,363
363,93
93,363
363,95
95,363
363,90
90,363
363,85
85,363
363,84
84,363
363,82
82,363
363,101
101,363
363,88
88,363
364,139
139,364
364,140
140,364
364,131
131,364
364,133
133,364
364,132
132,364
364,128
128,364
364,123
123,364
364,127
127,364
364,122
122,364
364,155
155,364
364,141
141,364
365,200
200,365
365,189
189,365
365,186
186,365
365,181
181,365
365,169
169,365
365,175
175,365
365,173
173,365
365,161
161,365
365,167
167,365
365,165
165,365
366,212
212,366
366,232
232,366
366,222
222,366
366,224
224,366
366,228
228,366
366,214
214,366
366,216
216,366
366,211
211,366
366,209
209,366
366,215
215,366
366,203
203,366
366,208
208,366
367,272
272,367
367,259
259,367
367,268
268,367
367,251
251,367
367,249
249,367
367,254
254,367
367,255
255,367
367,253
253,367
367,252
252,367
367,241
241,367
367,247
247,367
367,245
245,367
367,244
244,367
367,242
242,367
368,313
313,368
368,316
316,368
368,314
314,368
368,304
304,368
368,291
291,368
368,293
293,368
368,283
283,368
368,284
284,368
368,285
285,368
368,282
282,368
369,355
355,369
369,356
356,369
369,342
342,369
369,340
340,369
369,329
329,369
369,334
334,369
369,326
326,369
369,321
321,369
369,325
325,369
369,324
324,369
369,322
322,369
369,343
343,369
369,336
336,369
