StartNode,EndNode
250,36
36,220
220,206
206,250
250,15
15,102
102,39
39,250
250,58
58,183
183,150
150,250
250,9
9,153
153,230
230,250
250,137
137,18
18,30
30,250
250,214
214,57
57,203
203,250
250,114
114,148
148,26
26,250
250,223
223,43
43,122
122,250
250,11
11,241
241,225
225,250
250,249
249,62
62,177
177,250
250,1
1,47
47,113
113,250
250,226
226,176
176,219
219,250
250,170
170,2
2,235
235,250
251,186
186,81
81,4
4,251
251,171
171,181
181,169
169,251
251,182
182,95
95,34
34,251
251,144
144,184
184,218
218,251
251,196
196,48
48,143
143,251
251,215
215,126
126,116
116,251
251,23
23,236
236,111
111,251
251,179
179,161
161,93
93,251
251,44
44,22
22,120
120,251
251,63
63,180
180,200
200,251
251,67
67,41
41,85
85,251
251,94
94,50
50,187
187,251
251,209
209,115
115,7
7,251
