StartNode,EndNode
241,21
21,241
241,7
7,241
241,3
3,241
241,22
22,241
241,29
29,241
241,11
11,241
241,37
37,241
241,1
1,241
241,15
15,241
241,6
6,241
241,30
30,241
241,14
14,241
242,44
44,242
242,43
43,242
242,67
67,242
242,75
75,242
242,60
60,242
242,76
76,242
242,79
79,242
242,50
50,242
242,47
47,242
242,42
42,242
242,68
68,242
243,91
91,243
243,114
114,243
243,109
109,243
243,94
94,243
243,117
117,243
243,111
111,243
243,92
92,243
243,101
101,243
243,86
86,243
243,87
87,243
243,85
85,243
243,84
84,243
243,82
82,243
244,155
155,244
244,149
149,244
244,145
145,244
244,153
153,244
244,157
157,244
244,124
124,244
244,158
158,244
245,162
162,245
245,184
184,245
245,200
200,245
245,169
169,245
245,199
199,245
245,197
197,245
245,179
179,245
245,161
161,245
245,166
166,245
245,163
163,245
245,165
165,245
246,227
227,246
246,235
235,246
246,237
237,246
246,236
236,246
246,206
206,246
246,208
208,246
246,201
201,246
246,207
207,246
246,217
217,246
246,214
214,246
