StartNode,EndNode
1001,399
399,718
718,423
423,1001
1001,335
335,52
52,403
403,1001
1001,711
711,374
374,433
433,1001
1001,371
371,59
59,102
102,1001
1001,227
227,688
688,331
331,1001
1001,698
698,495
495,932
932,1001
1001,929
929,422
422,950
950,1001
1001,648
648,432
432,737
737,1001
1001,54
54,636
636,690
690,1001
1001,994
994,109
109,883
883,1001
1001,680
680,458
458,415
415,1001
1002,862
862,852
852,610
610,1002
1002,577
577,908
908,62
62,1002
1002,419
419,436
436,794
794,1002
1002,799
799,954
954,267
267,1002
1002,993
993,360
360,162
162,1002
1002,2
2,485
485,816
816,1002
1002,662
662,554
554,561
561,1002
1002,451
451,855
855,70
70,1002
1003,947
947,998
998,741
741,1003
1003,196
196,808
808,594
594,1003
1003,461
461,874
874,459
459,1003
1003,762
762,214
214,160
160,1003
1003,82
82,920
920,850
850,1003
1003,981
981,558
558,935
935,1003
1003,488
488,615
615,263
263,1003
1003,576
576,586
586,334
334,1003
1003,402
402,177
177,928
928,1003
1003,644
644,798
798,796
796,1003
1003,917
917,191
191,296
296,1003
1004,456
456,550
550,593
593,1004
1004,585
585,447
447,249
249,1004
1004,84
84,316
316,734
734,1004
1004,706
706,666
666,727
727,1004
1004,33
33,976
976,193
193,1004
1004,365
365,878
878,481
481,1004
1004,37
37,671
671,838
838,1004
1004,902
902,494
494,657
657,1004
1004,678
678,270
270,1004
