StartNode,EndNode
1001,399
399,718
718,241
241,1001
1001,731
731,826
826,253
253,1001
1001,614
614,304
304,381
381,1001
1001,852
852,862
862,403
403,1001
1001,227
227,688
688,331
331,1001
1001,698
698,495
495,932
932,1001
1001,923
923,955
955,950
950,1001
1001,432
432,636
636,690
690,1001
1001,396
396,12
12,11
11,1001
1001,458
458,680
680,415
415,1001
1002,612
612,890
890,320
320,1002
1002,799
799,954
954,267
267,1002
1002,436
436,788
788,62
62,1002
1002,278
278,360
360,162
162,1002
1002,451
451,593
593,550
550,1002
1002,662
662,554
554,561
561,1002
1002,855
855,70
70,315
315,1002
1002,577
577,129
129,610
610,1002
1003,235
235,167
167,82
82,1003
1003,981
981,558
558,935
935,1003
1003,892
892,224
224,160
160,1003
1003,473
473,516
516,214
214,1003
1003,557
557,431
431,704
704,1003
1003,798
798,644
644,796
796,1003
1003,917
917,191
191,296
296,1003
1004,281
281,625
625,385
385,1004
1004,537
537,362
362,983
983,1004
1004,249
249,585
585,447
447,1004
1004,647
647,496
496,411
411,1004
1004,706
706,666
666,727
727,1004
1004,193
193,33
33,976
976,1004
1004,481
481,671
671,838
838,1004
1004,494
494,657
657,200
200,1004
1004,678
678,902
902,364
364,1004
