StartNode,EndNode
250,110
110,109
109,20
20,227
227,29
29,97
97,132
132,181
181,52
52,102
102,15
15,219
219,75
75,162
162,169
169,6
6,239
239,119
119,50
50,93
93,187
187,45
45,250
251,112
112,213
213,8
8,123
123,3
3,16
16,84
84,135
135,146
146,39
39,47
47,168
168,66
66,56
56,122
122,43
43,223
223,225
225,241
241,82
82,157
157,249
249,62
62,237
237,177
177,69
69,251
252,156
156,180
180,63
63,199
199,96
96,166
166,207
207,30
30,18
18,137
137,124
124,12
12,49
49,130
130,129
129,61
61,90
90,211
211,252
