StartNode,EndNode
250,178
178,41
41,109
109,20
20,227
227,29
29,97
97,132
132,169
169,52
52,3
3,123
123,135
135,84
84,102
102,233
233,15
15,219
219,75
75,162
162,181
181,171
171,250
250,236
236,48
48,128
128,161
161,179
179,63
63,216
216,46
46,93
93,187
187,91
91,77
77,50
50,88
88,247
247,149
149,86
86,151
151,94
94,245
245,218
218,119
119,239
239,192
192,144
144,152
152,208
208,246
246,25
25,37
37,165
165,222
222,250
251,150
150,220
220,36
36,83
83,27
27,204
204,190
190,8
8,215
215,104
104,14
14,6
6,146
146,122
122,223
223,225
225,241
241,235
235,193
193,251
251,101
101,131
131,238
238,10
10,42
42,197
197,194
194,80
80,113
113,103
103,168
168,66
66,56
56,242
242,43
43,82
82,157
157,249
249,62
62,237
237,177
177,69
69,163
163,224
224,125
125,251
252,209
209,145
145,115
115,87
87,34
34,95
95,182
182,156
156,180
180,107
107,240
240,117
117,143
143,200
200,160
160,7
7,164
164,140
140,172
172,74
74,213
213,112
112,96
96,73
73,198
198,207
207,166
166,191
191,5
5,12
12,49
49,61
61,211
211,79
79,19
19,185
185,72
72,33
33,205
205,68
68,142
142,234
234,252
