StartNode,EndNode
250,169
169,171
171,92
92,250
250,104
104,74
74,126
126,250
250,102
102,243
243,37
37,250
250,128
128,212
212,14
14,250
251,233
233,16
16,15
15,251
251,201
201,78
78,146
146,251
251,40
40,127
127,24
24,251
251,67
67,51
51,147
147,251
251,75
75,162
162,226
226,251
252,192
192,239
239,35
35,252
252,28
28,156
156,218
218,252
252,184
184,245
245,247
247,252
252,95
95,154
154,87
87,252
252,81
81,246
246,152
152,252
253,27
27,253
253,173
173,228
228,53
53,253
253,170
170,248
248,114
114,253
253,125
125,224
224,62
62,253
253,230
230,220
220,206
206,253
253,137
137,54
54,204
204,253
254,166
166,96
96,207
207,254
254,129
129,221
221,205
205,254
254,229
229,139
139,202
202,254
254,185
185,19
19,254
254,33
33,231
231,211
211,254
