StartNode,EndNode
250,162
162,181
181,171
171,250
250,161
161,93
93,187
187,250
250,29
29,97
97,132
132,250
250,222
222,165
165,6
6,250
250,109
109,20
20,227
227,250
250,178
178,210
210,41
41,250
250,48
48,174
174,143
143,250
250,111
111,236
236,23
23,250
250,116
116,176
176,59
59,250
250,85
85,98
98,196
196,250
251,248
248,121
121,189
189,251
251,177
177,69
69,163
163,251
251,157
157,249
249,62
62,251
251,241
241,235
235,82
82,251
251,58
58,150
150,36
36,251
251,101
101,193
193,125
125,251
251,55
55,251
251,175
175,38
38,11
11,251
251,64
64,183
183,26
26,251
252,234
234,76
76,154
154,252
252,61
61,90
90,211
211,252
252,186
186,81
81,4
4,252
252,19
19,185
185,72
72,252
252,99
99,108
108,244
244,252
252,115
115,145
145,209
209,252
252,33
33,138
138,21
21,252
252,202
202,70
70,100
100,252
