StartNode,EndNode
250,2
2,170
170,250
250,9
9,153
153,230
230,250
250,183
183,150
150,58
58,250
250,30
30,1
1,18
18,250
250,203
203,57
57,214
214,250
250,114
114,148
148,26
26,250
250,177
177,146
146,84
84,250
250,11
11,241
241,225
225,250
250,249
249,43
43,62
62,250
250,47
47,113
113,235
235,250
250,176
176,226
226,219
219,250
250,195
195,83
83,173
173,250
251,74
74,207
207,215
215,251
251,243
243,165
165,222
222,251
251,95
95,34
34,28
28,251
251,184
184,218
218,239
239,251
251,126
126,116
116,251
251,111
111,236
236,23
23,251
251,179
179,161
161,216
216,251
251,22
22,120
120,44
44,251
251,180
180,63
63,200
200,251
251,41
41,67
67,85
85,251
251,94
94,50
50,187
187,251
251,115
115,209
209,7
7,251
