StartNode,EndNode
250,16
16,52
52,75
75,233
233,136
136,32
32,78
78,201
201,134
134,147
147,127
127,40
40,24
24,17
17,175
175,55
55,168
168,103
103,66
66,80
80,194
194,197
197,42
42,10
10,238
238,131
131,56
56,242
242,38
38,250
250,191
191,5
5,79
79,211
211,90
90,61
61,49
49,53
53,228
228,65
65,206
206,83
83,36
36,220
220,189
189,106
106,121
121,248
248,89
89,167
167,13
13,230
230,250
250,137
137,124
124,130
130,129
129,221
221,205
205,31
31,229
229,71
71,33
33,72
72,19
19,166
166,250
251,165
165,132
132,97
97,29
29,227
227,20
20,109
109,92
92,178
178,210
210,110
110,60
60,158
158,159
159,51
51,59
59,162
162,243
243,251
251,213
213,186
186,4
4,188
188,35
35,245
245,151
151,149
149,247
247,88
88,212
212,107
107,240
240,117
117,98
98,87
87,154
154,76
76,155
155,108
108,244
244,99
99,70
70,232
232,231
231,139
139,202
202,142
142,68
68,234
234,138
138,21
21,100
100,145
145,81
81,251
