StartNode,EndNode
250,107
107,45
45,161
161,179
179,200
200,199
199,25
25,141
141,116
116,6
6,243
243,169
169,181
181,132
132,97
97,29
29,158
158,60
60,110
110,250
251,42
42,10
10,238
238,131
131,214
214,11
11,241
241,225
225,223
223,43
43,122
122,146
146,84
84,52
52,75
75,134
134,159
159,127
127,251
252,76
76,154
154,4
4,164
164,7
7,160
160,208
208,88
88,247
247,86
86,149
149,252
253,112
112,190
190,8
8,123
123,118
118,3
3,135
135,249
249,157
157,82
82,235
235,57
57,203
203,193
193,101
101,148
148,26
26,9
9,153
153,13
13,167
167,89
89,121
121,106
106,189
189,150
150,65
65,53
53,253
254,68
68,142
142,232
232,155
155,70
70,99
99,108
108,244
244,115
115,140
140,74
74,215
215,21
21,71
71,229
229,1
1,139
139,202
202,254
