StartNode,EndNode
241,153
153,241
241,31
31,241
241,30
30,241
241,26
26,241
241,34
34,241
241,9
9,241
241,1
1,241
241,39
39,241
242,78
78,242
242,60
60,242
242,68
68,242
242,56
56,242
242,76
76,242
242,53
53,242
242,51
51,242
242,43
43,242
242,45
45,242
242,66
66,242
243,116
116,243
243,81
81,243
243,89
89,243
243,106
106,243
243,114
114,243
243,103
103,243
243,111
111,243
243,117
117,243
243,109
109,243
244,141
141,244
244,121
121,244
244,129
129,244
244,137
137,244
244,115
115,244
244,146
146,244
244,132
132,244
244,131
131,244
244,130
130,244
244,123
123,244
244,126
126,244
244,124
124,244
244,122
122,244
245,175
175,245
245,187
187,245
245,193
193,245
245,200
200,245
245,197
197,245
245,189
189,245
245,172
172,245
245,173
173,245
246,208
208,246
246,236
236,246
246,218
218,246
246,234
234,246
246,228
228,246
246,215
215,246
246,216
216,246
246,233
233,246
246,230
230,246
