StartNode,EndNode
501,199
199,410
410,173
173,352
352,432
432,351
351,206
206,88
88,268
268,213
213,501
501,282
282,355
355,200
200,369
369,407
407,219
219,64
64,176
176,90
90,136
136,501
501,305
305,294
294,345
345,116
116,50
50,225
225,501
501,258
258,306
306,162
162,484
484,404
404,295
295,120
120,253
253,501
501,291
291,119
119,122
122,134
134,381
381,292
292,415
415,87
87,187
187,27
27,501
502,241
241,489
489,239
239,198
198,49
49,311
311,400
400,185
185,226
226,397
397,502
502,371
371,313
313,94
94,123
123,368
368,502
502,249
249,51
51,118
118,77
77,423
423,79
79,370
370,145
145,48
48,4
4,502
502,54
54,278
278,399
399,202
202,193
193,376
376,435
435,284
284,424
424,349
349,502
502,192
192,238
238,128
128,56
56,231
231,272
272,139
139,322
322,164
164,141
141,502
502,350
350,429
429,411
411,22
22,107
107,37
37,298
298,460
460,321
321,502
503,149
149,251
251,214
214,466
466,434
434,194
194,288
288,380
380,353
353,188
188,503
503,332
332,348
348,75
75,91
91,388
388,112
112,183
183,391
391,402
402,503
503,498
498,98
98,210
210,280
280,330
330,477
477,172
172,488
488,303
303,363
363,503
503,41
41,266
266,61
61,11
11,387
387,171
171,491
491,494
494,470
470,205
205,503
503,46
46,409
409,274
274,386
386,110
110,329
329,13
13,104
104,312
312,240
240,503
503,475
475,447
447,365
365,138
138,279
279,108
108,217
217,463
463,190
190,63
63,503
504,169
169,395
395,20
20,419
419,142
142,394
394,105
105,448
448,392
392,302
302,504
504,495
495,422
422,129
129,359
359,257
257,271
271,403
403,121
121,375
375,1
1,504
504,317
317,126
126,137
137,174
174,221
221,245
245,227
227,211
211,478
478,412
412,504
504,115
115,450
450,418
418,346
346,428
428,133
133,148
148,483
483,358
358,132
132,504
504,73
73,360
360,243
243,80
80,252
252,60
60,103
103,127
127,7
7,5
5,504
504,437
437,179
179,125
125,420
420,438
438,155
155,12
12,6
6,102
102,462
462,504
