StartNode,EndNode
250,196
196,174
174,143
143,98
98,117
117,240
240,107
107,45
45,187
187,93
93,161
161,179
179,46
46,180
180,200
200,22
22,199
199,44
44,6
6,165
165,222
222,85
85,105
105,132
132,97
97,29
29,227
227,20
20,109
109,60
60,110
110,41
41,210
210,178
178,250
251,175
175,55
55,103
103,113
113,80
80,194
194,197
197,42
42,10
10,238
238,131
131,11
11,241
241,225
225,223
223,43
43,122
122,146
146,190
190,112
112,8
8,123
123,118
118,3
3,135
135,84
84,39
39,233
233,102
102,15
15,219
219,75
75,32
32,251
252,119
119,245
245,50
50,88
88,247
247,86
86,151
151,94
94,218
218,184
184,144
144,156
156,182
182,95
95,34
34,115
115,145
145,209
209,100
100,186
186,4
4,28
28,252
253,137
137,30
30,198
198,73
73,96
96,163
163,69
69,177
177,237
237,249
249,157
157,82
82,235
235,214
214,57
57,203
203,193
193,101
101,2
2,170
170,148
148,26
26,9
9,153
153,167
167,89
89,121
121,189
189,150
150,58
58,183
183,36
36,83
83,217
217,27
27,253
254,79
79,33
33,234
234,90
90,61
61,129
129,221
221,205
205,31
31,71
71,229
229,139
139,202
202,142
142,68
68,232
232,99
99,70
70,108
108,244
244,138
138,21
21,185
185,19
19,191
191,254
