StartNode,EndNode
101,60
60,83
83,18
18,89
89,6
6,96
96,99
99,59
59,93
93,85
85,101
101,5
5,84
84,17
17,45
45,8
8,82
82,48
48,47
47,36
36,46
46,101
101,61
61,16
16,91
91,98
98,44
44,86
86,38
38,101
102,80
80,68
68,77
77,3
3,79
79,33
33,78
78,34
34,35
35,29
29,102
102,12
12,26
26,28
28,76
76,54
54,4
4,39
39,25
25,24
24,67
67,102
102,102
103,2
2,57
57,87
87,97
97,95
95,94
94,13
13,58
58,40
40,53
53,103
103,73
73,72
72,74
74,22
22,75
75,56
56,23
23,41
41,15
15,43
43,103
103,92
92,37
37,100
100,42
42,14
14,103
104,69
69,1
1,50
50,51
51,9
9,71
71,66
66,20
20,30
30,70
70,104
104,31
31,88
88,7
7,62
62,10
10,90
90,32
32,63
63,11
11,19
19,104
104,27
27,52
52,49
49,64
64,65
65,104
