StartNode,EndNode
501,273
273,350
350,10
10,139
139,371
371,331
331,237
237,185
185,437
437,490
490,113
113,195
195,249
249,479
479,126
126,349
349,207
207,203
203,106
106,343
343,427
427,13
13,93
93,461
461,52
52,404
404,134
134,166
166,138
138,426
426,387
387,213
213,115
115,149
149,25
25,484
484,114
114,12
12,501
501,258
258,366
366,344
344,202
202,275
275,62
62,441
441,122
122,398
398,301
301,363
363,130
130,143
143,418
418,142
142,347
347,501
502,220
220,214
214,180
180,252
252,169
169,420
420,291
291,383
383,183
183,268
268,77
77,145
145,201
201,261
261,244
244,478
478,156
156,31
31,39
39,232
232,56
56,67
67,236
236,135
135,354
354,438
438,361
361,116
116,26
26,473
473,300
300,204
204,63
63,140
140,250
250,370
370,173
173,243
243,408
408,292
292,463
463,406
406,163
163,367
367,197
197,241
241,449
449,355
355,502
503,69
69,283
283,393
393,421
421,54
54,7
7,390
390,248
248,460
460,212
212,217
217,85
85,191
191,382
382,66
66,310
310,337
337,222
222,16
16,485
485,314
314,57
57,377
377,109
109,503
503,35
35,200
200,125
125,317
317,119
119,356
356,381
381,97
97,259
259,20
20,72
72,42
42,50
50,472
472,99
99,86
86,486
486,342
342,43
43,28
28,91
91,360
360,168
168,272
272,171
171,227
227,127
127,345
345,58
58,373
373,316
316,412
412,376
376,233
233,65
65,503
504,340
340,280
280,454
454,499
499,458
458,397
397,186
186,447
447,389
389,190
190,73
73,413
413,386
386,279
279,4
4,285
285,96
96,433
433,423
423,429
429,108
108,297
297,5
5,151
151,79
79,451
451,402
402,45
45,179
179,161
161,247
247,147
147,209
209,184
184,319
319,320
320,294
294,215
215,435
435,230
230,11
11,255
255,80
80,487
487,8
8,32
32,210
210,368
368,148
148,64
64,172
172,334
334,296
296,286
286,357
357,332
332,254
254,131
131,380
380,443
443,353
353,498
498,74
74,504
