StartNode,EndNode
501,176
176,295
295,302
302,165
165,414
414,471
471,429
429,278
278,163
163,346
346,362
362,126
126,271
271,84
84,53
53,297
297,98
98,33
33,45
45,395
395,347
347,470
470,479
479,378
378,181
181,119
119,9
9,81
81,12
12,91
91,320
320,457
457,326
326,76
76,459
459,85
85,240
240,145
145,357
357,103
103,102
102,167
167,170
170,47
47,227
227,372
372,185
185,274
274,232
232,501
502,451
451,401
401,11
11,477
477,422
422,216
216,290
290,87
87,494
494,78
78,351
351,270
270,30
30,100
100,49
49,389
389,3
3,188
188,260
260,107
107,10
10,52
52,442
442,360
360,61
61,322
322,208
208,235
235,448
448,223
223,416
416,254
254,383
383,213
213,245
245,418
418,437
437,392
392,268
268,80
80,502
502,68
68,24
24,129
129,186
186,214
214,64
64,400
400,131
131,226
226,17
17,502
503,286
286,285
285,168
168,122
122,283
283,182
182,147
147,180
180,137
137,115
115,443
443,31
31,121
121,434
434,8
8,117
117,220
220,375
375,336
336,153
153,450
450,495
495,55
55,114
114,83
83,193
193,99
99,421
421,23
23,280
280,65
65,379
379,339
339,492
492,420
420,318
318,503
503,70
70,498
498,324
324,123
123,407
407,403
403,415
415,265
265,243
243,321
321,412
412,404
404,352
352,101
101,252
252,397
397,96
96,307
307,384
384,500
500,489
489,445
445,211
211,228
228,484
484,503
504,241
241,132
132,199
199,376
376,472
472,60
60,69
69,423
423,358
358,386
386,309
309,435
435,273
273,110
110,14
14,225
225,196
196,393
393,391
391,476
476,411
411,419
419,275
275,154
154,382
382,74
74,253
253,365
365,374
374,487
487,385
385,263
263,433
433,405
405,164
164,139
139,354
354,349
349,331
331,300
300,399
399,332
332,504
504,313
313,174
174,361
361,77
77,75
75,380
380,305
305,504
