StartNode,EndNode
1001,115
115,1001
1001,31
31,1001
1001,773
773,1001
1001,38
38,1001
1001,876
876,1001
1001,572
572,1001
1001,820
820,1001
1001,768
768,1001
1001,823
823,1001
1001,130
130,1001
1001,118
118,1001
1001,900
900,1001
1001,356
356,1001
1001,575
575,1001
1001,604
604,1001
1001,34
34,1001
1001,197
197,1001
1002,550
550,1002
1002,494
494,1002
1002,573
573,1002
1002,438
438,1002
1002,99
99,1002
1002,886
886,1002
1002,841
841,1002
1002,429
429,1002
1002,663
663,1002
1002,245
245,1002
1002,999
999,1002
1002,512
512,1002
1002,30
30,1002
1002,884
884,1002
1002,761
761,1002
1002,742
742,1002
1002,879
879,1002
1003,672
672,1003
1003,825
825,1003
1003,355
355,1003
1003,365
365,1003
1003,33
33,1003
1003,199
199,1003
1003,453
453,1003
1003,60
60,1003
1003,9
9,1003
1003,172
172,1003
1003,280
280,1003
1004,246
246,1004
1004,784
784,1004
1004,523
523,1004
1004,371
371,1004
1004,474
474,1004
1004,809
809,1004
1004,729
729,1004
1004,614
614,1004
1004,916
916,1004
1004,972
972,1004
1004,706
706,1004
1004,680
680,1004
1005,664
664,1005
1005,150
150,1005
1005,869
869,1005
1005,936
936,1005
1005,319
319,1005
1005,28
28,1005
1005,465
465,1005
1005,586
586,1005
1005,325
325,1005
1005,829
829,1005
1005,964
964,1005
1005,920
920,1005
1005,367
367,1005
1005,378
378,1005
1005,50
50,1005
1005,330
330,1005
1005,295
295,1005
1006,80
80,1006
1006,992
992,1006
1006,666
666,1006
1006,43
43,1006
1006,293
293,1006
1006,141
141,1006
1006,288
288,1006
1006,195
195,1006
1006,896
896,1006
1006,107
107,1006
1006,216
216,1006
1006,941
941,1006
1006,381
381,1006
1006,193
193,1006
1006,296
296,1006
1006,323
323,1006
1006,340
340,1006
1006,577
577,1006
