StartNode,EndNode
501,166
166,501
501,15
15,501
501,249
249,501
501,479
479,501
501,437
437,501
501,226
226,501
501,156
156,501
501,203
203,501
501,378
378,501
501,18
18,501
501,489
489,501
501,410
410,501
502,358
358,502
502,359
359,502
502,75
75,502
502,240
240,502
502,364
364,502
502,141
141,502
502,495
495,502
502,193
193,502
502,481
481,502
502,367
367,502
502,98
98,502
502,408
408,502
502,478
478,502
502,253
253,502
502,6
6,502
502,160
160,502
502,293
293,502
503,439
439,503
503,251
251,503
503,305
305,503
503,316
316,503
503,267
267,503
503,343
343,503
503,72
72,503
503,43
43,503
503,91
91,503
503,171
171,503
503,20
20,503
503,492
492,503
503,341
341,503
504,446
446,504
504,29
29,504
504,295
295,504
504,177
177,504
504,442
442,504
504,118
118,504
504,419
419,504
504,330
330,504
504,131
131,504
504,179
179,504
504,175
175,504
504,297
297,504
504,108
108,504
504,21
21,504
