StartNode,EndNode
1001,899
899,1001
1001,43
43,1001
1001,215
215,1001
1001,19
19,1001
1001,987
987,1001
1001,346
346,1001
1001,969
969,1001
1001,368
368,1001
1001,141
141,1001
1001,503
503,1001
1001,702
702,1001
1001,497
497,1001
1001,545
545,1001
1001,552
552,1001
1001,720
720,1001
1001,109
109,1001
1001,962
962,1001
1001,994
994,1001
1001,883
883,1001
1001,11
11,1001
1001,462
462,1001
1001,670
670,1001
1002,409
409,1002
1002,801
801,1002
1002,991
991,1002
1002,584
584,1002
1002,668
668,1002
1002,311
311,1002
1002,663
663,1002
1002,914
914,1002
1002,910
910,1002
1002,582
582,1002
1002,301
301,1002
1002,455
455,1002
1002,28
28,1002
1002,879
879,1002
1002,45
45,1002
1002,213
213,1002
1002,74
74,1002
1002,100
100,1002
1002,220
220,1002
1002,345
345,1002
1002,789
789,1002
1002,626
626,1002
1002,330
330,1002
1002,315
315,1002
1002,551
551,1002
1002,909
909,1002
1003,595
595,1003
1003,49
49,1003
1003,427
427,1003
1003,581
581,1003
1003,105
105,1003
1003,282
282,1003
1003,201
201,1003
1003,978
978,1003
1003,547
547,1003
1003,124
124,1003
1003,900
900,1003
1003,882
882,1003
1003,284
284,1003
1003,186
186,1003
1003,804
804,1003
1003,491
491,1003
1003,915
915,1003
1003,527
527,1003
1003,395
395,1003
1003,831
831,1003
1003,774
774,1003
1003,998
998,1003
1004,983
983,1004
1004,598
598,1004
1004,4
4,1004
1004,685
685,1004
1004,438
438,1004
1004,221
221,1004
1004,807
807,1004
1004,231
231,1004
1004,469
469,1004
1004,942
942,1004
1004,574
574,1004
1004,578
578,1004
1004,305
305,1004
1004,510
510,1004
1004,995
995,1004
1004,261
261,1004
1004,63
63,1004
1004,87
87,1004
1004,37
37,1004
1004,421
421,1004
1004,730
730,1004
1004,456
456,1004
1004,657
657,1004
1004,200
200,1004
1004,287
287,1004
