StartNode,EndNode
1001,721
1001,933
1001,39
1001,518
1001,478
1001,189
1001,516
1001,503
1001,683
1001,256
1001,243
1001,559
1001,502
1001,102
1001,399
1001,7
1001,115
1001,880
1001,899
1001,155
1001,620
1001,668
1001,891
1001,75
1001,130
1001,118
1001,900
1001,356
1001,575
1001,604
1001,34
1001,197
1002,918
1002,718
1002,709
1002,82
1002,285
1002,557
1002,108
1002,700
1002,65
1002,434
1002,347
1002,710
1002,699
1002,331
1002,299
1002,564
1002,504
1002,241
1002,379
1002,818
1002,298
1002,925
1002,512
1002,30
1002,464
1002,884
1002,761
1002,742
1002,879
1003,786
1003,269
1003,844
1003,181
1003,562
1003,672
1003,62
1003,187
1003,720
1003,561
1003,276
1003,134
1003,748
1003,750
1003,862
1003,53
1003,267
1003,993
1003,69
1003,626
1003,405
1003,111
1003,339
1003,610
1003,117
1003,719
1003,453
1003,60
1003,9
1003,172
1003,280
1004,338
1004,98
1004,371
1004,967
1004,806
1004,856
1004,954
1004,814
1004,11
1004,849
1004,922
1004,495
1004,652
1004,506
1004,447
1004,851
1004,348
1004,113
1004,809
1004,156
1004,861
1004,126
1004,525
1004,407
1004,972
1004,706
1004,680
1005,944
1005,4
1005,855
1005,875
1005,552
1005,588
1005,310
1005,793
1005,90
1005,254
1005,968
1005,336
1005,230
1005,986
1005,370
1005,150
1005,872
1005,836
1005,804
1005,515
1005,551
1005,978
1005,950
1005,586
1005,215
1005,244
1005,147
1005,232
1005,214
1005,664
1005,367
1005,378
1005,50
1005,330
1005,295
1006,145
1006,341
1006,981
1006,195
1006,151
1006,107
1006,188
1006,708
1006,322
1006,852
1006,88
1006,772
1006,426
1006,739
1006,866
1006,435
1006,558
1006,357
1006,392
1006,78
1006,419
1006,255
1006,633
1006,97
1006,776
1006,923
1006,609
1006,543
1006,268
1006,623
1006,850
1006,121
1006,296
1006,323
1006,508
1006,340
1006,577
