StartNode,EndNode
1001,455
1001,574
1001,637
1001,954
1001,960
1001,119
1001,977
1001,189
1001,516
1001,503
1001,500
1001,933
1001,467
1001,683
1001,256
1001,721
1001,243
1001,502
1001,399
1001,7
1001,115
1001,854
1001,880
1001,899
1001,155
1001,620
1001,668
1001,891
1001,460
1001,75
1001,130
1001,118
1001,900
1001,356
1001,575
1001,604
1001,34
1001,197
1002,494
1002,509
1002,105
1002,337
1002,85
1002,557
1002,643
1002,108
1002,176
1002,429
1002,65
1002,841
1002,347
1002,302
1002,833
1002,937
1002,699
1002,492
1002,251
1002,895
1002,89
1002,331
1002,299
1002,564
1002,504
1002,241
1002,379
1002,818
1002,298
1002,470
1002,925
1002,512
1002,30
1002,464
1002,884
1002,761
1002,742
1002,879
1003,52
1003,439
1003,590
1003,562
1003,62
1003,187
1003,720
1003,561
1003,276
1003,786
1003,134
1003,748
1003,862
1003,383
1003,53
1003,222
1003,267
1003,993
1003,69
1003,626
1003,405
1003,111
1003,339
1003,610
1003,117
1003,719
1003,453
1003,60
1003,9
1003,172
1003,280
1004,601
1004,474
1004,37
1004,350
1004,11
1004,667
1004,849
1004,210
1004,411
1004,274
1004,506
1004,851
1004,348
1004,113
1004,63
1004,3
1004,371
1004,156
1004,861
1004,928
1004,613
1004,727
1004,86
1004,126
1004,98
1004,174
1004,525
1004,338
1004,407
1004,972
1004,706
1004,680
1005,875
1005,924
1005,844
1005,27
1005,552
1005,588
1005,310
1005,793
1005,90
1005,882
1005,254
1005,821
1005,949
1005,944
1005,518
1005,315
1005,230
1005,726
1005,986
1005,462
1005,150
1005,872
1005,836
1005,804
1005,515
1005,551
1005,978
1005,950
1005,586
1005,215
1005,244
1005,147
1005,232
1005,214
1005,664
1005,967
1005,367
1005,378
1005,50
1005,330
1005,295
1006,74
1006,381
1006,530
1006,981
1006,195
1006,941
1006,151
1006,107
1006,708
1006,834
1006,165
1006,329
1006,322
1006,852
1006,258
1006,772
1006,426
1006,739
1006,866
1006,877
1006,755
1006,183
1006,558
1006,357
1006,392
1006,78
1006,419
1006,255
1006,633
1006,97
1006,776
1006,923
1006,609
1006,543
1006,268
1006,906
1006,623
1006,850
1006,121
1006,296
1006,323
1006,508
1006,340
1006,577
