StartNode,EndNode
501,175
175,220
220,501
501,380
380,341
341,3
3,374
374,77
77,501
501,24
24,350
350,268
268,58
58,275
275,501
501,358
358,199
199,71
71,412
412,104
104,501
501,61
61,253
253,132
132,67
67,76
76,501
501,187
187,105
105,144
144,15
15,501
501,376
376,30
30,171
171,381
381,501
501,385
385,427
427,247
247,44
44,454
454,501
502,375
375,103
103,27
27,502
502,121
121,442
442,258
258,141
141,74
74,502
502,137
137,191
191,271
271,139
139,1
1,502
502,445
445,453
453,293
293,98
98,233
233,502
502,228
228,461
461,133
133,441
441,95
95,502
502,88
88,469
469,346
346,280
280,307
307,502
502,379
379,484
484,214
214,125
125,436
436,502
502,122
122,305
305,480
480,18
18,37
37,502
503,475
475,167
167,26
26,259
259,255
255,503
503,409
409,328
328,326
326,223
223,40
40,503
503,410
410,39
39,298
298,394
394,164
164,503
503,126
126,146
146,161
161,79
79,7
7,503
503,416
416,115
115,357
357,159
159,156
156,503
503,462
462,170
170,12
12,206
206,243
243,503
503,189
189,213
213,486
486,473
473,256
256,503
503,418
418,25
25,216
216,238
238,335
335,503
503,500
500,369
369,363
363,344
344,364
364,503
504,113
113,504
504,210
210,87
87,85
85,177
177,90
90,504
504,230
230,317
317,43
43,288
288,417
417,504
504,456
456,413
413,347
347,411
411,188
188,504
504,42
42,145
145,283
283,300
300,504
504,246
246,440
440,310
310,458
458,204
204,504
504,149
149,80
80,62
62,118
118,110
110,504
504,147
147,334
334,45
45,94
94,86
86,504
505,482
482,459
459,348
348,172
172,200
200,505
505,483
483,487
487,31
31,297
297,229
229,505
505,186
186,422
422,429
429,432
432,318
318,505
505,128
128,180
180,222
222,197
197,450
450,505
505,99
99,281
281,424
424,134
134,505
505,291
291,2
2,481
481,505
