StartNode,EndNode
501,190
190,4
4,26
26,238
238,481
481,261
261,371
371,111
111,20
20,430
430,437
437,204
204,475
475,246
246,467
467,50
50,455
455,185
185,189
189,287
287,206
206,428
428,372
372,227
227,346
346,362
362,126
126,53
53,271
271,163
163,429
429,278
278,165
165,302
302,414
414,330
330,102
102,170
170,167
167,47
47,479
479,378
378,181
181,119
119,9
9,81
81,12
12,91
91,320
320,457
457,326
326,459
459,85
85,240
240,193
193,83
83,450
450,153
153,375
375,336
336,495
495,55
55,114
114,257
257,145
145,35
35,144
144,44
44,212
212,341
341,446
446,311
311,120
120,501
502,485
485,396
396,221
221,236
236,329
329,128
128,142
142,325
325,42
42,48
48,312
312,432
432,292
292,108
108,231
231,203
203,94
94,285
285,266
266,209
209,106
106,394
394,458
458,345
345,166
166,335
335,406
406,150
150,418
418,245
245,267
267,198
198,360
360,52
52,442
442,254
254,22
22,90
90,79
79,451
451,401
401,422
422,477
477,290
290,87
87,494
494,78
78,351
351,270
270,30
30,100
100,49
49,3
3,188
188,260
260,10
10,61
61,213
213,383
383,38
38,130
130,502
502,469
469,392
392,466
466,381
381,157
157,39
39,138
138,334
334,343
343,178
178,502
503,319
319,57
57,397
397,96
96,384
384,255
255,339
339,86
86,288
288,197
197,158
158,219
219,410
410,443
443,31
31,121
121,434
434,117
117,220
220,99
99,421
421,23
23,1
1,54
54,93
93,370
370,269
269,282
282,452
452,113
113,359
359,352
352,404
404,412
412,321
321,415
415,265
265,403
403,123
123,324
324,199
199,124
124,73
73,498
498,70
70,244
244,151
151,456
456,503
503,377
377,387
387,323
323,148
148,497
497,258
258,127
127,92
92,279
279,491
491,483
483,15
15,368
368,171
171,280
280,65
65,115
115,137
137,180
180,147
147,182
182,283
283,379
379,337
337,191
191,503
504,441
441,256
256,300
300,399
399,349
349,331
331,332
332,361
361,77
77,75
75,354
354,263
263,433
433,164
164,405
405,139
139,305
305,380
380,74
74,382
382,154
154,275
275,419
419,309
309,435
435,110
110,14
14,225
225,196
196,393
393,462
462,436
436,480
480,133
133,363
363,146
146,82
82,369
369,134
134,135
135,251
251,340
340,259
259,348
348,43
43,177
177,439
439,25
25,72
72,426
426,465
465,440
440,461
461,152
152,205
205,327
327,250
250,51
51,19
19,306
306,504
