StartNode,EndNode
101,60
60,96
96,97
97,37
37,100
100,98
98,59
59,99
99,101
101,5
5,85
85,93
93,101
101,84
84,61
61,16
16,86
86,44
44,91
91,101
101,89
89,6
6,94
94,95
95,101
101,18
18,82
82,48
48,8
8,45
45,83
83,101
102,76
76,50
50,33
33,81
81,79
79,77
77,102
102,3
3,9
9,71
71,65
65,34
34,78
78,29
29,24
24,102
102,54
54,55
55,25
25,39
39,4
4,12
12,102
102,80
80,68
68,102
103,74
74,75
75,56
56,23
23,22
22,41
41,2
2,103
103,15
15,43
43,38
38,14
14,87
87,103
103,13
13,58
58,53
53,28
28,26
26,40
40,103
103,73
73,72
72,21
21,103
104,19
19,47
47,36
36,49
49,64
64,11
11,104
104,10
10,63
63,90
90,32
32,20
20,30
30,70
70,104
104,31
31,88
88,62
62,7
7,52
52,27
27,69
69,104
