StartNode,EndNode
501,422
422,131
131,246
246,72
72,32
32,66
66,271
271,121
121,441
441,374
374,501
501,375
375,403
403,64
64,129
129,257
257,359
359,176
176,404
404,90
90,136
136,501
501,124
124,65
65,457
457,78
78,35
35,269
269,321
321,48
48,145
145,67
67,501
501,39
39,372
372,490
490,10
10,199
199,410
410,433
433,417
417,259
259,291
291,501
502,460
460,298
298,37
37,130
130,177
177,16
16,8
8,325
325,473
473,502
502,456
456,393
393,413
413,315
315,250
250,300
300,440
440,160
160,307
307,481
481,502
502,63
63,268
268,115
115,462
462,502
502,500
500,213
213,483
483,428
428,317
317,486
486,327
327,270
270,412
412,333
333,502
502,238
238,347
347,128
128,56
56,231
231,139
139,272
272,137
137,371
371,6
6,502
502,54
54,278
278,399
399,312
312,240
240,429
429,202
202,193
193,284
284,107
107,502
503,97
97,389
389,463
463,73
73,189
189,135
135,443
443,503
503,46
46,409
409,447
447,455
455,180
180,357
357,464
464,182
182,279
279,479
479,503
503,261
261,140
140,344
344,361
361,342
342,183
183,348
348,363
363,332
332,503
503,101
101,309
309,167
167,491
491,494
494,470
470,205
205,496
496,53
53,150
150,503
503,235
235,267
267,171
171,387
387,11
11,61
61,266
266,41
41,58
58,147
147,503
503,42
42,329
329,108
108,217
217,19
19,76
76,13
13,104
104,503
503,75
75,488
488,303
303,112
112,149
149,260
260,289
289,365
365,247
247,274
274,503
504,336
336,360
360,498
498,252
252,243
243,262
262,127
127,190
190,7
7,469
469,504
504,119
119,400
400,352
352,239
239,322
322,12
12,94
94,313
313,102
102,450
450,504
504,437
437,40
40,159
159,248
248,273
273,436
436,295
295,484
484,495
495,377
377,504
504,258
258,253
253,120
120,396
396,362
362,89
89,196
196,499
499,70
70,263
263,504
504,296
296,38
38,305
305,169
169,395
395,419
419,20
20,200
200,355
355,5
5,504
504,179
179,125
125,420
420,155
155,438
438,493
493,126
126,358
358,133
133,148
148,504
