StartNode,EndNode
250,40
40,147
147,32
32,121
121,189
189,250
250,33
33,1
1,71
71,205
205,221
221,130
130,228
228,124
124,250
250,24
24,17
17,175
175,47
47,103
103,113
113,66
66,56
56,250
250,226
226,233
233,176
176,136
136,59
59,162
162,75
75,16
16,250
250,150
150,58
58,183
183,36
36,220
220,65
65,206
206,83
83,250
250,80
80,194
194,197
197,42
42,238
238,131
131,250
250,219
219,15
15,102
102,39
39,38
38,250
250,129
129,61
61,211
211,79
79,72
72,19
19,185
185,250
250,49
49,12
12,133
133,5
5,191
191,250
250,13
13,167
167,89
89,153
153,250
250,137
137,18
18,30
30,250
250,9
9,250
250,82
82,250
251,139
139,202
202,231
231,68
68,142
142,67
67,51
51,247
247,251
251,232
232,155
155,108
108,70
70,138
138,209
209,145
145,115
115,251
251,149
149,86
86,94
94,88
88,50
50,212
212,251
251,159
159,134
134,158
158,210
210,117
117,240
240,14
14,251
251,245
245,35
35,239
239,119
119,218
218,184
184,251
251,41
41,110
110,109
109,20
20,29
29,251
251,244
244,154
154,87
87,188
188,34
34,95
95,251
251,97
97,132
132,171
171,181
181,169
169,251
251,100
100,81
81,186
186,172
172,251
251,246
246,251
