StartNode,EndNode
250,75
75,250
250,29
29,250
250,41
41,250
250,22
22,250
250,240
240,250
250,98
98,250
250,143
143,250
250,178
178,250
250,117
117,250
250,23
23,250
250,48
48,250
250,174
174,250
250,92
92,250
250,196
196,250
250,169
169,250
250,105
105,250
251,122
122,251
251,43
43,251
251,238
238,251
251,214
214,251
251,223
223,251
251,131
131,251
251,80
80,251
251,66
66,251
251,225
225,251
251,242
242,251
251,125
125,251
251,177
177,251
251,102
102,251
251,176
176,251
251,168
168,251
252,221
221,252
252,185
185,252
252,83
83,252
252,204
204,252
252,27
27,252
252,130
130,252
252,54
54,252
252,12
12,252
252,30
30,252
252,137
137,252
252,170
170,252
252,166
166,252
253,209
209,253
253,140
140,253
253,156
156,253
253,186
186,253
253,100
100,253
253,115
115,253
253,87
87,253
253,28
28,253
253,239
239,253
253,164
164,253
