Instance,v1_Full,v1_NoSwap,v1_NoLocal,og_Full,og_NoSwap,og_NoLocal
p01,191.03,202.96,225.72,219.20,211.59,255.43
p02,188.60,187.17,209.39,200.66,231.04,276.42
p03,185.82,188.63,200.64,198.56,193.44,264.94
p04,694.96,700.95,807.71,692.11,701.98,976.88
p05,624.33,629.61,697.03,692.40,672.66,901.03
p06,416.25,417.09,492.31,448.19,429.34,563.15
p07,314.41,313.57,378.9,329.90,326.80,482.11
p08,3186.02,3051.63,3288.45,3144.43,3136.46,3853.5
p09,1964.49,1932.21,2118.71,1949.26,1939.12,2566
p10,1500.38,1463.63,1747.09,1523.75,1470.63,2089.33
p11,1031.09,1060.37,1202.79,1105.26,1121.23,1445.91
