Instance,v1_Full,v1_NoSwap,v1_NoLocal,og_Full,og_NoSwap,og_NoLocal
p01,217.42,215.15,334.04,243.72,232.34,356.47
p02,219.2,218.4,308.83,243.72,221.55,372.28
p03,214.84,202.43,253.18,277.5,218.73,347.94
p04,668.81,711.8,779.34,711,740.45,924.31
p05,630.78,655.4,726.62,713,713.39,874.8
p06,435.42,431.32,650.32,481.2,471.61,751.05
p07,309.48,349.19,350.77,322.29,359.18,589.22
p08,3333.93,3079.58,3321.63,3448.84,3380.67,4009.1
p09,1917.82,2102.98,2429.24,2201.39,2157.1,2732.05
p10,1493.13,1525.37,1864.23,1630.94,1614.27,243.73
p11,1145.75,1101.33,1239.36,1211.33,1096.74,1583.09
