Instance,v1_full,v1_noswap,og_full,og_noswap
p01,6.98,13.66,22.76,18.50
p02,9.19,8.36,16.17,33.76
p03,6.90,8.52,14.23,11.29
p04,10.33,11.28,9.88,11.45
p05,8.95,9.87,20.83,17.39
p06,9.80,10.02,18.22,13.25
p07,9.08,8.79,14.45,13.38
p08,5.37,0.92,3.99,3.73
p09,15.22,13.32,14.32,13.73
p10,16.64,13.79,18.46,14.33
p11,3.92,6.87,11.40,13.01
p12,17.71,20.79,21.98,14.79
p13,11.61,8.46,5.85,13.54
p14,15.62,12.37,8.82,19.97
p15,11.08,11.81,9.44,10.97
p16,9.40,12.68,5.90,7.10
p17,11.43,12.22,11.67,8.36
p18,-1.66,0.94,-0.51,0.33
p19,-0.11,1.05,-2.64,-0.98
p20,-0.98,0.79,-3.80,-2.42
p21,-5.01,-2.65,-7.76,-4.02
p22,-6.60,-5.12,-8.02,-9.51
p23,-7.37,-6.54,-9.16,-7.64
