Instance,v1_full,v1_noswap,og_full,og_noswap
p01,191.03,202.96,219.20,211.59
p02,188.60,187.17,200.66,231.04
p03,185.82,188.63,198.56,193.44
p04,694.96,700.95,692.11,701.98
p05,624.33,629.61,692.40,672.66
p06,416.25,417.09,448.19,429.34
p07,314.41,313.57,329.90,326.80
p08,3186.02,3051.63,3144.43,3136.46
p09,1964.49,1932.21,1949.26,1939.12
p10,1500.38,1463.63,1523.75,1470.63
p11,1031.09,1060.37,1105.26,1121.23
p12,1273.77,1307.11,1319.93,1242.12
p13,1226.63,1191.96,1163.27,1247.78
p14,1284.73,1248.53,1209.07,1332.96
p15,1295.23,1303.76,1276.14,1294.03
p16,1289.29,1328.00,1248.00,1262.21
p17,1273.39,1282.38,1276.14,1238.24
p18,1211.56,1243.53,1225.65,1236.01
p19,1248.93,1263.35,1217.20,1238.00
p20,1234.12,1256.25,1199.02,1216.18
p21,1231.23,1261.89,1195.67,1244.13
p22,1230.99,1250.49,1212.22,1192.59
p23,1222.63,1233.67,1198.97,1219.12
