Type,X,Y,Cluster
Point,1850.000000,2600.000000,1
Point,2450.000000,2450.000000,3
Point,2600.000000,3200.000000,3
Point,1000.000000,1300.000000,0
Point,2000.000000,1500.000000,2
Point,1050.000000,2350.000000,1
Point,850.000000,3150.000000,1
Point,1550.000000,3100.000000,1
Point,2600.000000,1650.000000,2
Point,2550.000000,1050.000000,2
Point,2100.000000,2050.000000,1
Point,1550.000000,1600.000000,1
Point,250.000000,1250.000000,0
Point,600.000000,2100.000000,1
Point,1800.000000,800.000000,0
Point,2600.000000,2050.000000,2
Point,1350.000000,1150.000000,0
Point,850.000000,1650.000000,0
Point,650.000000,650.000000,0
Point,2850.000000,2900.000000,3
Point,3100.000000,2100.000000,3
Point,2100.000000,2850.000000,3
Point,800.000000,2850.000000,1
Point,400.000000,2600.000000,1
Point,350.000000,1900.000000,0
Point,1350.000000,3400.000000,1
Point,1500.000000,2400.000000,1
Point,2150.000000,3350.000000,3
Point,2900.000000,2400.000000,3
Point,2900.000000,1350.000000,2
Point,1850.000000,3450.000000,1
Point,1900.000000,2300.000000,1
Point,2300.000000,500.000000,2
Point,3050.000000,1650.000000,2
Point,3100.000000,3150.000000,3
Point,3150.000000,3450.000000,3
Point,1600.000000,1100.000000,0
Point,2250.000000,1750.000000,2
Point,2950.000000,750.000000,2
Point,250.000000,300.000000,0
Point,500.000000,850.000000,0
Point,1050.000000,500.000000,0
Point,250.000000,3200.000000,1
Point,1500.000000,750.000000,0
Point,1950.000000,500.000000,0
Point,1600.000000,1950.000000,1
Point,1250.000000,1600.000000,1
Point,1250.000000,2750.000000,1
Point,2400.000000,1400.000000,2
Point,2800.000000,1850.000000,2
Depot,1000.000000,1000.000000,0
Depot,1500.000000,2000.000000,1
Depot,2500.000000,1500.000000,2
Depot,3000.000000,2500.000000,3
