NodeID,Xposition,Yposition
1,2050.000000,2450.000000
2,1750.000000,850.000000
3,2750.000000,2250.000000
4,2750.000000,1000.000000
5,750.000000,1500.000000
6,1250.000000,1500.000000
7,1000.000000,2500.000000
8,500.000000,2150.000000
9,2750.000000,3000.000000
10,1500.000000,3000.000000
11,1000.000000,3250.000000
12,2500.000000,1750.000000
13,1500.000000,1250.000000
14,750.000000,500.000000
15,1500.000000,250.000000
16,500.000000,1000.000000
17,250.000000,1500.000000
18,1000.000000,2000.000000
19,750.000000,3000.000000
20,2250.000000,3250.000000
21,2250.000000,1000.000000
22,2250.000000,500.000000
23,2750.000000,250.000000
24,3250.000000,1750.000000
25,3250.000000,1000.000000
26,2250.000000,1500.000000
27,1750.000000,2000.000000
28,2050.000000,1850.000000
29,3200.000000,2100.000000
30,2000.000000,3000.000000
31,1550.000000,2600.000000
32,1750.000000,3450.000000
33,2650.000000,2600.000000
34,3250.000000,2750.000000
35,3150.000000,3250.000000
36,100.000000,3000.000000
37,1000.000000,1000.000000
38,250.000000,250.000000
39,3000.000000,600.000000
40,2000.000000,1250.000000
41,2100.000000,350.000000
42,1200.000000,600.000000
43,1150.000000,150.000000
44,550.000000,700.000000
45,300.000000,1900.000000
46,100.000000,2400.000000
47,400.000000,2800.000000
48,650.000000,2600.000000
49,300.000000,3400.000000
50,2350.000000,2350.000000
51,2450.000000,2900.000000
52,1350.000000,2150.000000
53,1850.000000,1550.000000
54,2850.000000,1450.000000
55,3150.000000,1150.000000
56,2650.000000,600.000000
57,1600.000000,600.000000
58,1800.000000,1300.000000
59,1050.000000,1200.000000
60,850.000000,1700.000000
61,600.000000,1200.000000
62,1200.000000,2900.000000
63,1350.000000,3450.000000
64,750.000000,3850.000000
65,3100.000000,3850.000000
66,2450.000000,3650.000000
67,3350.000000,250.000000
68,2800.000000,1950.000000
69,1850.000000,2350.000000
70,1850.000000,2800.000000
71,2850.000000,3400.000000
72,2350.000000,800.000000
73,2200.000000,850.000000
74,2300.000000,650.000000
75,2450.000000,550.000000
76,2450.000000,2100.000000
77,2650.000000,2150.000000
78,3050.000000,2600.000000
79,2850.000000,2400.000000
80,2800.000000,1850.000000
81,2750.000000,2700.000000
82,750.000000,2350.000000
83,700.000000,1850.000000
84,550.000000,1550.000000
85,800.000000,1100.000000
86,200.000000,900.000000
87,1400.000000,900.000000
88,1300.000000,2600.000000
89,1300.000000,1750.000000
90,1550.000000,3350.000000
91,750.000000,950.000000
92,1100.000000,1100.000000
93,900.000000,1200.000000
94,1300.000000,1350.000000
95,1250.000000,1200.000000
96,1100.000000,1350.000000
97,1250.000000,1050.000000
98,950.000000,1050.000000
99,1000.000000,1300.000000
100,900.000000,900.000000
101,750.000000,1750.000000
102,2750.000000,1750.000000
103,1750.000000,1000.000000
104,1750.000000,2500.000000
