StartNode,EndNode
250,158
250,169
250,199
250,45
250,179
250,37
250,165
250,44
250,107
250,128
250,22
250,120
250,14
250,105
250,143
250,178
250,92
250,88
250,50
251,224
251,102
251,136
251,233
251,176
251,39
251,122
251,43
251,113
251,42
251,223
251,11
251,241
251,9
251,123
251,114
251,59
251,66
252,72
252,221
252,96
252,19
252,129
252,207
252,130
252,53
252,228
252,173
252,5
252,133
252,54
252,191
252,49
252,30
252,18
252,137
252,124
252,71
252,65
253,144
253,152
253,209
253,208
253,239
253,246
253,35
253,7
253,156
253,154
253,164
253,160
253,81
253,87
253,28
253,182
253,34
253,95
253,188
253,232
