Instance,Gap_Full,Gap_NoLO,Gap_NoSwap,Gap_NoFull
p01,1.06,55.26,0.00,27.33
p02,0.37,41.41,0.00,32.59
p03,6.13,25.07,0.00,26.23
p04,0.00,16.53,6.43,3.41
p05,0.00,15.19,3.90,10.63
p06,0.95,50.77,0.00,30.94
p07,0.00,13.34,12.83,18.43
p08,8.26,7.86,0.00,11.32
p09,0.00,26.67,9.65,20.12
p10,0.00,24.85,2.16,14.27
p11,4.03,12.53,0.00,15.91
p12,0.00,6.46,2.62,0.00
p13,2.91,22.14,0.00,5.71
p14,2.90,13.24,0.00,4.31
p15,0.00,11.93,0.55,2.10
p16,0.00,12.35,3.00,0.00
p17,3.00,7.27,0.00,3.00
p18,0.00,14.81,4.55,6.32
p19,0.00,10.99,1.82,2.74
p20,0.00,8.00,1.16,2.14
p21,4.13,12.29,0.00,4.13
p22,0.00,13.13,4.34,0.84
p23,0.00,11.48,0.82,0.16
