Instance,AACONC+,heuristic_prox,heuristic_kmeans
p01,178.56,217.42,191.03
p02,172.73,219.2,188.6
p03,173.82,214.84,185.82
p04,629.88,668.81,694.96
p05,573.03,630.78,624.33
p06,379.1,435.42,416.25
p07,288.24,309.48,314.41
p08,3023.77,3333.93,3186.02
p09,1705.03,1917.82,1964.49
p10,1286.28,1493.13,1500.38
p11,992.16,1145.75,1031.09
p12,1082.12,1273.77,1273.77
p13,1099.02,1226.63,1226.63
p14,1111.12,1284.73,1284.73
p15,1166.08,1347.67,1295.23
p16,1178.51,1289.29,1289.29
p17,1142.74,1320.91,1273.39
p18,1231.96,1260.24,1211.56
p19,1250.26,1266.92,1248.93
p20,1246.36,1323.1,1234.12
p21,1296.19,1363.18,1231.23
p22,1317.94,1295.67,1230.99
p23,1319.93,1252.36,1222.63
