Instance,Full,NoLocalOpt,NoSwap,NoFinal
p01,217.42,334.04,215.15,273.96
p02,219.20,308.83,218.40,289.58
p03,214.84,253.18,202.43,255.52
p04,668.81,779.34,711.80,691.62
p05,630.78,726.62,655.40,697.86
p06,435.42,650.32,431.32,564.79
p07,309.48,350.77,349.19,366.51
p08,3333.93,3321.63,3079.58,3428.15
p09,1917.82,2429.24,2102.98,2303.70
p10,1493.13,1864.23,1525.37,1706.14
p11,1145.75,1239.36,1101.33,1276.59
p12,1273.77,1356.09,1307.11,1273.77
p13,1226.63,1455.87,1191.96,1259.97
p14,1284.73,1413.87,1248.53,1302.34
p15,1347.67,1508.50,1355.08,1375.95
p16,1289.29,1448.53,1328.00,1289.29
p17,1320.91,1375.55,1282.38,1320.91
p18,1260.24,1446.92,1317.54,1339.83
p19,1266.92,1406.13,1289.95,1301.62
p20,1323.10,1429.00,1338.42,1351.39
p21,1363.18,1470.03,1309.14,1363.18
p22,1295.67,1465.74,1351.96,1306.60
p23,1252.36,1396.11,1262.65,1254.42
