Instance,AACOAVG,AACOWOR,heuristic_prox,heuristic_kmeans
p01,10.18,26.34,21.76,6.98
p02,13.80,35.92,26.90,9.19
p03,7.73,20.90,23.60,6.90
p04,2.37,7.26,6.18,10.33
p05,7.06,20.84,10.08,8.95
p06,2.96,6.41,14.86,9.80
p07,3.35,9.21,7.37,9.08
p08,2.53,8.01,10.26,5.37
p09,4.10,8.32,12.48,15.22
p10,2.60,4.91,16.08,16.64
p11,4.38,7.01,15.48,3.92
p12,3.81,8.62,17.71,17.71
p13,3.30,8.46,11.61,11.61
p14,1.10,5.31,15.62,15.62
p15,3.13,5.33,15.57,11.08
p16,2.64,5.36,9.40,9.40
p17,5.00,9.69,15.59,11.43
p18,2.59,5.23,2.30,-1.66
p19,1.30,2.72,1.33,-0.11
p20,1.63,2.76,6.16,-0.98
p21,2.62,3.93,5.17,-5.01
p22,1.07,2.78,-1.69,-6.60
p23,1.63,2.78,-5.12,-7.37
