NodeID,Xposition,Yposition
1,18500.000000,26000.000000
2,24500.000000,24500.000000
3,26000.000000,32000.000000
4,10000.000000,13000.000000
5,20000.000000,15000.000000
6,10500.000000,23500.000000
7,8500.000000,31500.000000
8,15500.000000,31000.000000
9,26000.000000,16500.000000
10,25500.000000,10500.000000
11,21000.000000,20500.000000
12,15500.000000,16000.000000
13,2500.000000,12500.000000
14,6000.000000,21000.000000
15,18000.000000,8000.000000
16,26000.000000,20500.000000
17,13500.000000,11500.000000
18,8500.000000,16500.000000
19,6500.000000,6500.000000
20,28500.000000,29000.000000
21,31000.000000,21000.000000
22,21000.000000,28500.000000
23,8000.000000,28500.000000
24,4000.000000,26000.000000
25,3500.000000,19000.000000
26,13500.000000,34000.000000
27,15000.000000,24000.000000
28,21500.000000,33500.000000
29,29000.000000,24000.000000
30,29000.000000,13500.000000
31,18500.000000,34500.000000
32,19000.000000,23000.000000
33,23000.000000,5000.000000
34,30500.000000,16500.000000
35,31000.000000,31500.000000
36,31500.000000,34500.000000
37,16000.000000,11000.000000
38,22500.000000,17500.000000
39,29500.000000,7500.000000
40,2500.000000,3000.000000
41,5000.000000,8500.000000
42,10500.000000,5000.000000
43,2500.000000,32000.000000
44,15000.000000,7500.000000
45,19500.000000,5000.000000
46,16000.000000,19500.000000
47,12500.000000,16000.000000
48,12500.000000,27500.000000
49,24000.000000,14000.000000
50,28000.000000,18500.000000
51,10000.000000,10000.000000
52,15000.000000,20000.000000
53,25000.000000,15000.000000
54,30000.000000,25000.000000
