NodeID,Xposition,Yposition
1,20500.000000,24500.000000
2,17500.000000,8500.000000
3,27500.000000,22500.000000
4,27500.000000,10000.000000
5,7500.000000,15000.000000
6,12500.000000,15000.000000
7,10000.000000,25000.000000
8,5000.000000,21500.000000
9,27500.000000,30000.000000
10,15000.000000,30000.000000
11,10000.000000,32500.000000
12,25000.000000,17500.000000
13,15000.000000,12500.000000
14,7500.000000,5000.000000
15,15000.000000,2500.000000
16,5000.000000,10000.000000
17,2500.000000,15000.000000
18,10000.000000,20000.000000
19,7500.000000,30000.000000
20,22500.000000,32500.000000
21,22500.000000,10000.000000
22,22500.000000,5000.000000
23,27500.000000,2500.000000
24,32500.000000,17500.000000
25,32500.000000,10000.000000
26,22500.000000,15000.000000
27,17500.000000,20000.000000
28,20500.000000,18500.000000
29,32000.000000,21000.000000
30,20000.000000,30000.000000
31,15500.000000,26000.000000
32,17500.000000,34500.000000
33,26500.000000,26000.000000
34,32500.000000,27500.000000
35,31500.000000,32500.000000
36,1000.000000,30000.000000
37,10000.000000,10000.000000
38,2500.000000,2500.000000
39,30000.000000,6000.000000
40,20000.000000,12500.000000
41,21000.000000,3500.000000
42,12000.000000,6000.000000
43,11500.000000,1500.000000
44,5500.000000,7000.000000
45,3000.000000,19000.000000
46,1000.000000,24000.000000
47,4000.000000,28000.000000
48,6500.000000,26000.000000
49,3000.000000,34000.000000
50,23500.000000,23500.000000
51,24500.000000,29000.000000
52,13500.000000,21500.000000
53,18500.000000,15500.000000
54,28500.000000,14500.000000
55,31500.000000,11500.000000
56,26500.000000,6000.000000
57,16000.000000,6000.000000
58,18000.000000,13000.000000
59,10500.000000,12000.000000
60,8500.000000,17000.000000
61,6000.000000,12000.000000
62,12000.000000,29000.000000
63,13500.000000,34500.000000
64,7500.000000,38500.000000
65,31000.000000,38500.000000
66,24500.000000,36500.000000
67,33500.000000,2500.000000
68,28000.000000,19500.000000
69,18500.000000,23500.000000
70,18500.000000,28000.000000
71,28500.000000,34000.000000
72,23500.000000,8000.000000
73,22000.000000,8500.000000
74,23000.000000,6500.000000
75,24500.000000,5500.000000
76,24500.000000,21000.000000
77,26500.000000,21500.000000
78,30500.000000,26000.000000
79,28500.000000,24000.000000
80,28000.000000,18500.000000
81,27500.000000,27000.000000
82,7500.000000,23500.000000
83,7000.000000,18500.000000
84,5500.000000,15500.000000
85,8000.000000,11000.000000
86,2000.000000,9000.000000
87,14000.000000,9000.000000
88,13000.000000,26000.000000
89,13000.000000,17500.000000
90,15500.000000,33500.000000
91,7500.000000,9500.000000
92,11000.000000,11000.000000
93,9000.000000,12000.000000
94,13000.000000,13500.000000
95,12500.000000,12000.000000
96,11000.000000,13500.000000
97,12500.000000,10500.000000
98,9500.000000,10500.000000
99,10000.000000,13000.000000
100,9000.000000,9000.000000
101,7500.000000,17500.000000
102,27500.000000,17500.000000
103,17500.000000,10000.000000
104,17500.000000,25000.000000
